SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
k,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
g,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
h,-,-,-,+,0,-,-,-,-,+,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
j,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0
w,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,0,0
i,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,-,-
y,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,-,-
ɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,-,-
e,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,-,-
ɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,-,-
a,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,-,-
ɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,-,-
ɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,-,-
ə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-
u,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,-,-
ʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,-,-
o,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,-,-
ɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,-,-
ˈi,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,+
ˈy,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,+
ˈɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,+
ˈe,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,+
ˈɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,+
ˈa,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,+
ˈɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,+
ˈɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,+
ˈə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,+
ˈu,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,+
ˈʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,+
ˈo,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,+
ˈɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,+
ˌi,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,-
ˌy,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,-
ˌɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,-
ˌe,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,+,-
ˌɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,-
ˌa,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,-
ˌɑ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,+,-,-,-,+,-
ˌɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,-
ˌə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,-
ˌu,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,-
ˌʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,-
ˌo,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,+,-
ˌɔ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,+,-
ə̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
e̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,+,-,-,-,0,0
o̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,+,-,-,-,0,0
w̥,-,+,-,+,0,-,-,-,-,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,0,0
j̥,-,+,-,+,0,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0
ɛ̯ꜝ,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,0,0
ɔ̯ꜝ,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,+,-,+,-,-,-,-,0,0
